Main Features,Resolution,Model,Specification,"≥200pcs
USD/SET", UNIT COST IN NAIRA , UNIT COST OF SHIPMENT , TOTAL COST , RESELLER MARK-UP15% , TSI MARK-UP-25 , END-USER MARK-UP-35% , 19% RS , 21% RS , 23% RS , SUNDAY ONU PRICE-SILVER , SILVER , BRONZE , PLATINUM , RESELLER PRICE , TSI PRICE ,7.40%,  EU PRICE 
,,JVS-B700-F,i5-1135G7 2.4GHz-4.2GHz 4Core 28W,900.00," 666,000.00 "," 113,220.00 "," 779,220.00 "," 116,883.00 "," 194,805.00 "," 272,727.00 "," 124,675.20 "," 109,090.80 "," 93,506.40 "," 903,895.20 "," 967,791.24 "," 925,713.36 "," 894,154.95 "," 896,103.00 "," 974,025.00 "," 974,102.92 "," 1,051,947.00 "
"Gun Detection & Face Recognition & Calling Detecion & Smoking Detection AI NVR
The New 11th Gen Intel ® Core™ IoT Processor
Core Celeron Processor.,i3, i5 and i7 (Optional)
High- powered Intel ® Iris ® Xe graphics and AI acceleration
On board AI Ability Up to 8.292 TOPS and Able to Extend more
OEM/ODM Optional",AI NVR,JVS-ND96128-8DT,"INTEL i3: 2 Core 4 Threading, 3.0GHz, 3.840 TOPS,",730.00," 540,200.00 "," 91,834.00 "," 632,034.00 "," 94,805.10 "," 158,008.50 "," 221,211.90 "," 101,125.44 "," 88,484.76 "," 75,844.08 "," 733,159.44 "," 784,986.23 "," 750,856.39 "," 725,259.02 "," 726,839.10 "," 790,042.50 "," 790,105.70 "," 853,245.90 "
,,,"8GB DDR4 (SODIMM Interface)
INTEL i5: 4 Core 8 Threading, 2.6GHz, 6.656 TOPS,",980.00," 725,200.00 "," 123,284.00 "," 848,484.00 "," 127,272.60 "," 212,121.00 "," 296,969.40 "," 135,757.44 "," 118,787.76 "," 101,818.08 "," 984,241.44 "," 1,053,817.13 "," 1,007,998.99 "," 973,635.39 "," 975,756.60 "," 1,060,605.00 "," 1,060,689.85 "," 1,145,453.40 "
,,,"
8GB DDR4 (SODIMM Interface)
INTEL i7: 4 Core 8 Threading, 2.8GHz, 8.292 TOPS,
8GB DDR4 (SODIMM Interface)",1150.00," 851,000.00 "," 144,670.00 "," 995,670.00 "," 149,350.50 "," 248,917.50 "," 348,484.50 "," 159,307.20 "," 139,393.80 "," 119,480.40 "," 1,154,977.20 "," 1,236,622.14 "," 1,182,855.96 "," 1,142,531.33 "," 1,145,020.50 "," 1,244,587.50 "," 1,244,687.07 "," 1,344,154.50 "
"16HDD AI Server
The New 11th Gen Intel ® Core™ IoT Processor
Core Celeron Processor.,i3, i5 and i7 (Optional)
High- powered Intel ® Iris ® Xe graphics and AI acceleration
On board AI Ability Up to 8.292 TOPS and Able to Extend more
OEM/ODM Optional",AI Server,JVS-VM9800-16DT,"INTEL i3: 2 Core 4 Threading, 3.0GHz, 3.840 TOPS,",1450.00," 1,073,000.00 "," 182,410.00 "," 1,255,410.00 "," 188,311.50 "," 313,852.50 "," 439,393.50 "," 200,865.60 "," 175,757.40 "," 150,649.20 "," 1,456,275.60 "," 1,559,219.22 "," 1,491,427.08 "," 1,440,582.98 "," 1,443,721.50 "," 1,569,262.50 "," 1,569,388.04 "," 1,694,803.50 "
,,,"8GB DDR4 (SODIMM Interface)
INTEL i5: 4 Core 8 Threading, 2.6GHz, 6.656 TOPS,",1700.00," 1,258,000.00 "," 213,860.00 "," 1,471,860.00 "," 220,779.00 "," 367,965.00 "," 515,151.00 "," 235,497.60 "," 206,060.40 "," 176,623.20 "," 1,707,357.60 "," 1,828,050.12 "," 1,748,569.68 "," 1,688,959.35 "," 1,692,639.00 "," 1,839,825.00 "," 1,839,972.19 "," 1,987,011.00 "
,,,"
8GB DDR4 (SODIMM Interface)
INTEL i7: 4 Core 8 Threading, 2.8GHz, 8.292 TOPS,
8GB DDR4 (SODIMM Interface)",1990.00," 1,472,600.00 "," 250,342.00 "," 1,722,942.00 "," 258,441.30 "," 430,735.50 "," 603,029.70 "," 275,670.72 "," 241,211.88 "," 206,753.04 "," 1,998,612.72 "," 2,139,893.96 "," 2,046,855.10 "," 1,977,075.95 "," 1,981,383.30 "," 2,153,677.50 "," 2,153,849.79 "," 2,325,971.70 "
AI PoE SWITCH,,JVS-S08-6P-65W, 8 10/100m adaptive RJ45 ports,16.00," 11,840.00 "," 2,012.80 "," 13,852.80 "," 2,077.92 "," 3,463.20 "," 4,848.48 "," 2,216.45 "," 1,939.39 "," 1,662.34 "," 16,069.25 "," 17,205.18 "," 16,457.13 "," 15,896.09 "," 15,930.72 "," 17,316.00 "," 17,317.39 "," 18,701.28 "
AI PoE SWITCH,,JVS-S10-8P-120W,8 10/100m adaptive RJ45 ports and 2 10/100/1000M adaptive RJ45 ports,25.00," 18,500.00 "," 3,145.00 "," 21,645.00 "," 3,246.75 "," 5,411.25 "," 7,575.75 "," 3,463.20 "," 3,030.30 "," 2,597.40 "," 25,108.20 "," 26,883.09 "," 25,714.26 "," 24,837.64 "," 24,891.75 "," 27,056.25 "," 27,058.41 "," 29,220.75 "
AI PoE SWITCH,,JVS-S18-16P-240W,16 10/100m adaptive RJ45 ports and 2 10/100/1000M adaptive RJ45 ports,60.00," 44,400.00 "," 7,548.00 "," 51,948.00 "," 7,792.20 "," 12,987.00 "," 18,181.80 "," 8,311.68 "," 7,272.72 "," 6,233.76 "," 60,259.68 "," 64,519.42 "," 61,714.22 "," 59,610.33 "," 59,740.20 "," 64,935.00 "," 64,940.19 "," 70,129.80 "
AI PoE SWITCH,,JVS-S26-24P-320W,24 port POE switch ,85.00," 62,900.00 "," 10,693.00 "," 73,593.00 "," 11,038.95 "," 18,398.25 "," 25,757.55 "," 11,774.88 "," 10,303.02 "," 8,831.16 "," 85,367.88 "," 91,402.51 "," 87,428.48 "," 84,447.97 "," 84,631.95 "," 91,991.25 "," 91,998.61 "," 99,350.55 "
"corner bracket for Speed dome install at corner 
",,AU3001,,193.00," 142,820.00 "," 24,279.40 "," 167,099.40 "," 25,064.91 "," 41,774.85 "," 58,484.79 "," 26,735.90 "," 23,393.92 "," 20,051.93 "," 193,835.30 "," 207,537.45 "," 198,514.09 "," 191,746.56 "," 192,164.31 "," 208,874.25 "," 208,890.96 "," 225,584.19 "
Wall Mounted Bracket,,AU1002,,7.00," 5,180.00 ", 880.6 ," 6,060.60 "," 1,212.12 "," 1,818.18 "," 2,424.24 ", 969.70 , 848.48 , 727.27 ," 7,030.30 "," 7,806.05 "," 7,466.66 "," 7,212.11 "," 7,272.72 "," 7,878.78 "," 7,856.96 "," 8,484.84 "
Junction Box,,AU1003,,6.00," 4,440.00 ", 754.8 ," 5,194.80 "," 1,038.96 "," 1,558.44 "," 2,077.92 ", 831.17 , 727.27 , 623.38 ," 6,025.97 "," 6,690.90 "," 6,399.99 "," 6,181.81 "," 6,233.76 "," 6,753.24 "," 6,734.54 "," 7,272.72 "
Junction Box,,AU1004,,6.00," 4,440.00 ", 754.8 ," 5,194.80 "," 1,038.96 "," 1,558.44 "," 2,077.92 ", 831.17 , 727.27 , 623.38 ," 6,025.97 "," 6,690.90 "," 6,399.99 "," 6,181.81 "," 6,233.76 "," 6,753.24 "," 6,734.54 "," 7,272.72 "
Wall Mounted Bracket,,AU1005,,6.50," 4,810.00 ", 817.7 ," 5,627.70 "," 1,125.54 "," 1,688.31 "," 2,251.08 ", 900.43 , 787.88 , 675.32 ," 6,528.13 "," 7,248.48 "," 6,933.33 "," 6,696.96 "," 6,753.24 "," 7,316.01 "," 7,295.75 "," 7,878.78 "
Junction Box,,AU1007,,5.50," 4,070.00 ", 691.9 ," 4,761.90 ", 952.38 ," 1,428.57 "," 1,904.76 ", 761.90 , 666.67 , 571.43 ," 5,523.80 "," 6,133.33 "," 5,866.66 "," 5,666.66 "," 5,714.28 "," 6,190.47 "," 6,173.33 "," 6,666.66 "
Bracket,,"Bracket 507
11013727
11013908",,1.50," 1,110.00 ", 188.7 ," 1,298.70 ", 259.74 , 389.61 , 519.48 , 207.79 , 181.82 , 155.84 ," 1,506.49 "," 1,672.73 "," 1,600.00 "," 1,545.45 "," 1,558.44 "," 1,688.31 "," 1,683.63 "," 1,818.18 "
Bracket,,Bracket 507,,1.50," 1,110.00 ", 188.7 ," 1,298.70 ", 259.74 , 389.61 , 519.48 , 207.79 , 181.82 , 155.84 ," 1,506.49 "," 1,672.73 "," 1,600.00 "," 1,545.45 "," 1,558.44 "," 1,688.31 "," 1,683.63 "," 1,818.18 "
Corner Mount Bracket,,AU3001,,8.00," 5,920.00 "," 1,006.4 "," 6,926.40 "," 1,385.28 "," 2,077.92 "," 2,770.56 "," 1,108.22 ", 969.70 , 831.17 ," 8,034.62 "," 8,921.20 "," 8,533.32 "," 8,242.42 "," 8,311.68 "," 9,004.32 "," 8,979.38 "," 9,696.96 "
Stand,,Desktop,,35.00," 25,900.00 "," 4,403.0 "," 30,303.00 "," 6,060.60 "," 9,090.90 "," 12,121.20 "," 4,848.48 "," 4,242.42 "," 3,636.36 "," 35,151.48 "," 39,030.26 "," 37,333.30 "," 36,060.57 "," 36,363.60 "," 39,393.90 "," 39,284.81 "," 42,424.20 "
Stand,,Floor stand with light,,60.00," 44,400.00 "," 7,548.0 "," 51,948.00 "," 10,389.60 "," 15,584.40 "," 20,779.20 "," 8,311.68 "," 7,272.72 "," 6,233.76 "," 60,259.68 "," 66,909.02 "," 63,999.94 "," 61,818.12 "," 62,337.60 "," 67,532.40 "," 67,345.39 "," 72,727.20 "
PoE Injector,,JVS-PI30,IEEE802.3AT/AF,$10.8," 7,992.00 "," 1,358.64 "," 9,350.64 "," 1,402.60 "," 2,337.66 "," 3,272.72 "," 1,496.10 "," 1,309.09 "," 1,122.08 "," 10,846.74 "," 11,613.49 "," 11,108.56 "," 10,729.86 "," 10,753.24 "," 11,688.30 "," 11,689.24 "," 12,623.36 "
POE Splitter,,48V-12V,IEEE802.3AF/AT,$1.8," 1,332.00 ", 226.44 ," 1,558.44 ", 233.77 , 389.61 , 545.45 , 249.35 , 218.18 , 187.01 ," 1,807.79 "," 1,935.58 "," 1,851.43 "," 1,788.31 "," 1,792.21 "," 1,948.05 "," 1,948.21 "," 2,103.89 "
Cable,,Network&Power Cable,"Network&Power Cable,270M*2 Total 540meters",$71.0," 52,540.00 "," 8,931.80 "," 61,471.80 "," 9,220.77 "," 15,367.95 "," 21,515.13 "," 9,835.49 "," 8,606.05 "," 7,376.62 "," 71,307.29 "," 76,347.98 "," 73,028.50 "," 70,538.89 "," 70,692.57 "," 76,839.75 "," 76,845.90 "," 82,986.93 "
Power Adapter,,SUN-1200200,12V 2A,$2.2," 1,628.00 ", 276.76 ," 1,904.76 ", 285.71 , 476.19 , 666.67 , 304.76 , 266.67 , 228.57 ," 2,209.52 "," 2,365.71 "," 2,262.85 "," 2,185.71 "," 2,190.47 "," 2,380.95 "," 2,381.14 "," 2,571.43 "
Power Adapter,,KPH-040012,12V 3.3A,$3.5," 2,590.00 ", 440.30 ," 3,030.30 ", 454.55 , 757.58 ," 1,060.61 ", 484.85 , 424.24 , 363.64 ," 3,515.15 "," 3,763.63 "," 3,600.00 "," 3,477.27 "," 3,484.85 "," 3,787.88 "," 3,788.18 "," 4,090.91 "
14001960 ,,32G,Micro SD card  32G   (Support Jovision camera with SD slot),2.50 ," 1,850.00 ", 314.50 ," 2,164.50 ", 324.68 , 541.13 , 757.58 , 346.32 , 303.03 , 259.74 ," 2,510.82 "," 2,688.31 "," 2,571.43 "," 2,483.76 "," 2,489.18 "," 2,705.63 "," 2,705.84 "," 2,922.08 "
14001961 ,,64G,Micro SD card 64G  (Support Jovision camera with SD slot),3.50 ," 2,590.00 ", 440.30 ," 3,030.30 ", 454.55 , 757.58 ," 1,060.61 ", 484.85 , 424.24 , 363.64 ," 3,515.15 "," 3,763.63 "," 3,600.00 "," 3,477.27 "," 3,484.85 "," 3,787.88 "," 3,788.18 "," 4,090.91 "
14001962 ,,128G,Micro SD card 128G   (Support Jovision camera with SD slot),9.00 ," 6,660.00 "," 1,132.20 "," 7,792.20 "," 1,168.83 "," 1,948.05 "," 2,727.27 "," 1,246.75 "," 1,090.91 ", 935.06 ," 9,038.95 "," 9,677.91 "," 9,257.13 "," 8,941.55 "," 8,961.03 "," 9,740.25 "," 9,741.03 "," 10,519.47 "
14001963 ,,256G,"Micro SD card 256G (Support JVS-N937-SDL,JVS-N537-SDL,JVS-N517-SDL)",25.00 ," 18,500.00 "," 3,145.00 "," 21,645.00 "," 3,246.75 "," 5,411.25 "," 7,575.75 "," 3,463.20 "," 3,030.30 "," 2,597.40 "," 25,108.20 "," 26,883.09 "," 25,714.26 "," 24,837.64 "," 24,891.75 "," 27,056.25 "," 27,058.41 "," 29,220.75 "
,,20 AH  ,Solar panel with battery   20 AH  ,65.00 ," 48,100.00 "," 8,177.00 "," 56,277.00 "," 11,255.40 "," 16,883.10 "," 22,510.80 "," 9,004.32 "," 7,878.78 "," 6,753.24 "," 65,281.32 "," 72,484.78 "," 69,333.26 "," 66,969.63 "," 67,532.40 "," 73,160.10 "," 72,957.50 "," 78,787.80 "
,,30AH  ,Solar panel with battery  30AH  ,85.00 ," 62,900.00 "," 10,693.00 "," 73,593.00 "," 14,718.60 "," 22,077.90 "," 29,437.20 "," 11,774.88 "," 10,303.02 "," 8,831.16 "," 85,367.88 "," 94,787.78 "," 90,666.58 "," 87,575.67 "," 88,311.60 "," 95,670.90 "," 95,405.97 "," 103,030.20 "
OFS-PE- M2GSF2T16,, 16 port ,"Managed POE
16-Port 1000M PoE + 2-Port 1000M SFP",," 153,500.00 "," 26,095.00 "," 179,595.00 "," 35,919.00 "," 53,878.50 "," 71,838.00 "," 28,735.20 "," 25,143.30 "," 21,551.40 "," 208,330.20 ", 190.84 , 182.54 , 176.32 ," 215,514.00 "," 233,473.50 ", 192.08 , 207.43 
OFS-PE- M2GSF2T24,, 24 port ,"Managed POE
24-Port 1000M PoE + 2-Port 1000M SFP",," 161,500.00 "," 27,455.00 "," 188,955.00 "," 37,791.00 "," 56,686.50 "," 75,582.00 "," 30,232.80 "," 26,453.70 "," 22,674.60 "," 219,187.80 ", 200.78 , 192.05 , 185.51 ," 226,746.00 "," 245,641.50 ", 202.09 , 218.24 
OFS-M2XF8,, 8 port ,"Fiber Switch
8*10000M SFP, L2 management type, external power supply",," 143,000.00 "," 24,310.00 "," 167,310.00 "," 33,462.00 "," 50,193.00 "," 66,924.00 "," 26,769.60 "," 23,423.40 "," 20,077.20 "," 194,079.60 ", 177.78 , 170.05 , 164.26 ," 200,772.00 "," 217,503.00 ", 178.94 , 193.24 
OFS- M2XF4GSF16- 8C,, 16 port ,"Fiber Switch
4*10000M SFP, 16*1000M SFP,
8*optical multiplexing port, built-in power supply, L2 management type",," 310,000.00 "," 52,700.00 "," 362,700.00 "," 72,540.00 "," 108,810.00 "," 145,080.00 "," 58,032.00 "," 50,778.00 "," 43,524.00 "," 420,732.00 ", 385.41 , 368.65 , 356.08 ," 435,240.00 "," 471,510.00 ", 387.92 , 418.92 
OFS-PE-GT18,, 16 port ,"POE switch
16*10/100/1000M POE RJ45+Uplink
2*1000M RJ45, support POE802.3AF/AT，Built-in power supply",," 88,000.00 "," 14,960.00 "," 102,960.00 "," 20,592.00 "," 30,888.00 "," 41,184.00 "," 16,473.60 "," 14,414.40 "," 12,355.20 "," 119,433.60 ", 109.41 , 104.65 , 101.08 ," 123,552.00 "," 133,848.00 ", 110.12 , 118.92 
OFS-PE-GT26,, 24-port ,"POE switch
24*10/100/1000M POE RJ45+upstream 2RJ45*1000Mbps, support POE802.3AF/AT，Built-in power supply",," 104,000.00 "," 17,680.00 "," 121,680.00 "," 24,336.00 "," 36,504.00 "," 48,672.00 "," 19,468.80 "," 17,035.20 "," 14,601.60 "," 141,148.80 ", 129.30 , 123.68 , 119.46 ," 146,016.00 "," 158,184.00 ", 130.14 , 140.54 
